'Elapsed time','ECG I','ECG I filtered'
0.524,0.020,0.005
0.526,0.020,0.005
0.528,0.120,0.000
0.530,0.115,0.000
0.532,0.210,-0.005
0.534,0.190,-0.005
0.536,0.160,-0.010
0.538,0.070,-0.010
0.540,0.030,-0.010
0.542,-0.100,-0.005
0.544,-0.020,0.005
0.546,0.050,0.010
0.548,0.125,0.020
0.550,0.150,0.025
0.552,0.280,0.025
0.554,0.210,0.020
0.556,0.150,0.015
0.558,0.050,0.005
0.560,-0.010,-0.010
0.562,-0.100,-0.025
0.564,-0.075,-0.040
0.566,-0.010,-0.050
0.568,0.080,-0.055
0.570,0.115,-0.060
0.572,0.165,-0.060
0.574,0.150,-0.065
0.576,0.125,-0.060
0.578,0.045,-0.060
0.580,-0.015,-0.055
0.582,-0.135,-0.050
0.584,-0.110,-0.050
0.586,0.005,-0.045
0.588,0.075,-0.040
0.590,0.090,-0.035
0.592,0.215,-0.035
0.594,0.145,-0.035
0.596,0.080,-0.040
0.598,0.030,-0.050
0.600,0.010,-0.055
0.602,-0.110,-0.060
0.604,-0.080,-0.065
0.606,-0.035,-0.060
0.608,0.060,-0.060
0.610,0.065,-0.055
0.612,0.180,-0.050
0.614,0.155,-0.050
0.616,0.050,-0.050
0.618,0.010,-0.055
0.620,0.015,-0.065
0.622,-0.105,-0.070
0.624,-0.085,-0.080
0.626,-0.025,-0.085
0.628,0.065,-0.090
0.630,0.035,-0.090
0.632,0.120,-0.080
0.634,0.145,-0.075
0.636,0.075,-0.060
0.638,-0.020,-0.040
0.640,-0.015,-0.015
0.642,-0.060,0.015
0.644,0.060,0.060
0.646,0.165,0.115
0.648,0.335,0.180
0.650,0.460,0.250
0.652,0.570,0.325
0.654,0.655,0.390
0.656,0.650,0.440
0.658,0.580,0.470
0.660,0.515,0.475
0.662,0.360,0.445
0.664,0.310,0.395
0.666,0.335,0.315
0.668,0.385,0.225
0.670,0.305,0.125
0.672,0.245,0.020
0.674,0.145,-0.070
0.676,-0.120,-0.150
0.678,-0.245,-0.215
0.680,-0.265,-0.260
0.682,-0.320,-0.285
0.684,-0.295,-0.295
0.686,-0.195,-0.295
0.688,-0.135,-0.280
0.690,-0.060,-0.260
0.692,-0.025,-0.235
0.694,-0.010,-0.210
0.696,-0.055,-0.185
0.698,-0.100,-0.160
0.700,-0.085,-0.140
0.702,-0.105,-0.120
0.704,-0.070,-0.100
0.706,0.000,-0.090
0.708,0.075,-0.080
0.710,0.120,-0.075
0.712,0.150,-0.070
0.714,0.145,-0.065
0.716,0.115,-0.060
0.718,-0.035,-0.060
0.720,-0.065,-0.060
0.722,-0.055,-0.055
0.724,-0.050,-0.050
0.726,0.015,-0.045
0.728,0.105,-0.045
0.730,0.130,-0.040
0.732,0.220,-0.035
0.734,0.170,-0.030
0.736,0.070,-0.025
0.738,0.020,-0.020
0.740,-0.035,-0.015
0.742,-0.040,-0.010
0.744,-0.025,-0.010
0.746,0.110,-0.005
0.748,0.145,-0.005
0.750,0.185,-0.010
0.752,0.180,-0.015
0.754,0.120,-0.020
0.756,0.065,-0.030
0.758,0.040,-0.035
0.760,-0.055,-0.035
0.762,-0.060,-0.035
0.764,0.005,-0.035
0.766,0.065,-0.025
0.768,0.130,-0.020
0.770,0.205,-0.010
0.772,0.225,-0.005
0.774,0.185,0.000
0.776,0.140,0.005
0.778,0.050,0.000
0.780,-0.050,0.000
0.782,-0.045,-0.005
0.784,0.020,-0.010
0.786,0.110,-0.010
0.788,0.135,-0.010
0.790,0.245,-0.005
0.792,0.210,0.000
0.794,0.195,0.005
0.796,0.120,0.010
0.798,0.090,0.015
0.800,-0.035,0.015
0.802,0.010,0.015
0.804,0.040,0.010
0.806,0.115,0.005
0.808,0.095,0.005
0.810,0.225,0.000
0.812,0.235,0.005
0.814,0.215,0.010
0.816,0.125,0.015
0.818,0.025,0.020
0.820,-0.005,0.025
0.822,0.020,0.030
0.824,0.065,0.030
0.826,0.165,0.030
0.828,0.180,0.025
0.830,0.270,0.025
0.832,0.215,0.020
0.834,0.170,0.025
0.836,0.135,0.025
0.838,0.140,0.030
0.840,0.010,0.040
0.842,0.045,0.045
0.844,0.100,0.050
0.846,0.170,0.050
0.848,0.210,0.050
0.850,0.290,0.050
0.852,0.240,0.050
0.854,0.210,0.050
0.856,0.125,0.050
0.858,0.110,0.055
0.860,0.050,0.060
0.862,0.055,0.065
0.864,0.100,0.075
0.866,0.210,0.080
0.868,0.255,0.090
0.870,0.330,0.095
0.872,0.315,0.100
0.874,0.240,0.105
0.876,0.210,0.115
0.878,0.165,0.120
0.880,0.105,0.130
0.882,0.085,0.140
0.884,0.250,0.150
0.886,0.290,0.155
0.888,0.285,0.160
0.890,0.380,0.165
0.892,0.360,0.165
0.894,0.345,0.165
0.896,0.295,0.165
0.898,0.245,0.165
0.900,0.160,0.170
0.902,0.165,0.175
0.904,0.240,0.180
0.906,0.325,0.185
0.908,0.355,0.190
0.910,0.390,0.190
0.912,0.440,0.190
0.914,0.340,0.195
0.916,0.305,0.195
0.918,0.220,0.195
0.920,0.190,0.200
0.922,0.165,0.205
0.924,0.290,0.205
0.926,0.345,0.210
0.928,0.375,0.210
0.930,0.445,0.210
0.932,0.370,0.205
0.934,0.330,0.200
0.936,0.270,0.190
0.938,0.210,0.185
0.940,0.155,0.175
0.942,0.165,0.170
0.944,0.235,0.160
0.946,0.290,0.155
0.948,0.335,0.145
0.950,0.340,0.135
0.952,0.345,0.125
0.954,0.265,0.110
0.956,0.110,0.100
0.958,0.115,0.090
0.960,0.045,0.080
0.962,0.105,0.075
0.964,0.175,0.070
0.966,0.245,0.065
0.968,0.245,0.055
0.970,0.275,0.050
0.972,0.215,0.035
0.974,0.105,0.020
0.976,0.060,0.005
0.978,0.020,-0.005
0.980,-0.070,-0.020
0.982,0.015,-0.025
0.984,0.095,-0.025
0.986,0.150,-0.025
0.988,0.175,-0.025
0.990,0.210,-0.020
0.992,0.135,-0.025
0.994,0.095,-0.030
0.996,0.015,-0.045
0.998,-0.015,-0.055
1.000,-0.140,-0.070
1.002,-0.035,-0.085
1.004,0.050,-0.085
1.006,0.085,-0.085
1.008,0.165,-0.075
1.010,0.165,-0.055
1.012,0.170,-0.040
1.014,0.085,-0.025
1.016,0.045,-0.020
1.018,-0.025,-0.020
1.020,-0.080,-0.025
1.022,0.005,-0.040
1.024,0.100,-0.055
1.026,0.085,-0.070
1.028,0.145,-0.075
1.030,0.170,-0.075
1.032,0.160,-0.070
1.034,0.090,-0.060
1.036,0.030,-0.045
1.038,-0.065,-0.035
1.040,-0.015,-0.025
1.042,0.010,-0.020
1.044,0.040,-0.025
1.046,0.085,-0.035
1.048,0.165,-0.045
1.050,0.165,-0.055
1.052,0.130,-0.065
1.054,0.020,-0.065
1.056,0.040,-0.070
1.058,-0.050,-0.065
1.060,-0.080,-0.065
1.062,-0.045,-0.060
1.064,0.030,-0.060
1.066,0.100,-0.065
1.068,0.165,-0.065
1.070,0.160,-0.070
1.072,0.130,-0.075
1.074,0.030,-0.075
1.076,0.040,-0.075
1.078,-0.105,-0.075
1.080,-0.065,-0.070
1.082,-0.030,-0.065
1.084,0.015,-0.060
1.086,0.095,-0.060
1.088,0.220,-0.055
1.090,0.180,-0.045
1.092,0.185,-0.040
1.094,0.135,-0.030
1.096,0.065,-0.025
1.098,-0.050,-0.015
1.100,-0.015,-0.010
1.102,-0.030,-0.010
1.104,0.100,-0.015
1.106,0.155,-0.020
1.108,0.220,-0.030
1.110,0.190,-0.045
1.112,0.120,-0.050
1.114,0.070,-0.060
1.116,-0.030,-0.055
1.118,-0.045,-0.050
1.120,-0.080,-0.040
1.122,0.035,-0.025
1.124,0.130,-0.010
1.126,0.165,0.000
1.128,0.260,0.010
1.130,0.235,0.010
1.132,0.190,0.010
1.134,0.110,0.005
1.136,0.100,0.000
1.138,-0.055,-0.005
1.140,0.010,-0.005
1.142,0.025,-0.005
1.144,0.125,-0.005
1.146,0.160,-0.005
1.148,0.245,0.000
1.150,0.225,0.000
1.152,0.170,-0.005
1.154,0.060,-0.010
1.156,0.045,-0.015
1.158,-0.065,-0.020
1.160,-0.040,-0.025
1.162,0.080,-0.030
1.164,0.115,-0.030
1.166,0.150,-0.030
1.168,0.210,-0.025
1.170,0.195,-0.020
1.172,0.115,-0.015
1.174,0.080,-0.010
1.176,0.060,-0.005
1.178,-0.010,-0.005
1.180,-0.010,-0.005
1.182,0.060,-0.005
1.184,0.175,-0.005
1.186,0.165,-0.010
1.188,0.265,-0.010
1.190,0.205,-0.010
1.192,0.145,-0.010
1.194,0.075,-0.010
1.196,0.030,-0.010
1.198,-0.005,-0.010
1.200,0.000,-0.010
1.202,0.060,-0.010
1.204,0.130,-0.015
1.206,0.200,-0.020
1.208,0.240,-0.025
1.210,0.255,-0.025
1.212,0.105,-0.030
1.214,0.055,-0.030
1.216,0.060,-0.030
1.218,-0.090,-0.030
1.220,-0.025,-0.030
1.222,0.045,-0.030
1.224,0.115,-0.025
1.226,0.140,-0.025
1.228,0.225,-0.025
1.230,0.210,-0.025
1.232,0.110,-0.025
1.234,0.060,-0.025
1.236,0.015,-0.025
1.238,-0.025,-0.020
1.240,0.020,-0.015
1.242,0.045,-0.010
1.244,0.135,-0.010
1.246,0.210,-0.005
1.248,0.270,-0.005
1.250,0.240,-0.005
1.252,0.110,-0.005
1.254,0.060,-0.010
1.256,0.035,-0.015
1.258,-0.030,-0.020
1.260,-0.040,-0.020
1.262,0.045,-0.025
1.264,0.105,-0.025
1.266,0.165,-0.020
1.268,0.245,-0.020
1.270,0.190,-0.015
1.272,0.120,-0.015
1.274,0.090,-0.015
1.276,0.005,-0.010
1.278,-0.070,-0.015
1.280,0.005,-0.015
1.282,0.050,-0.015
1.284,0.175,-0.020
1.286,0.180,-0.020
1.288,0.205,-0.025
1.290,0.150,-0.025
1.292,0.075,-0.025
1.294,0.040,-0.025
1.296,-0.025,-0.025
1.298,0.000,-0.030
1.300,0.010,-0.030
1.302,0.090,-0.030
1.304,0.095,-0.030
1.306,0.205,-0.030
1.308,0.210,-0.030
1.310,0.125,-0.035
1.312,0.060,-0.035
1.314,0.070,-0.040
1.316,-0.025,-0.040
1.318,-0.055,-0.040
1.320,-0.025,-0.040
1.322,0.105,-0.040
1.324,0.115,-0.040
1.326,0.195,-0.035
1.328,0.190,-0.030
1.330,0.145,-0.030
1.332,0.080,-0.030
1.334,0.065,-0.030
1.336,-0.040,-0.030
1.338,-0.055,-0.035
1.340,-0.010,-0.040
1.342,0.060,-0.045
1.344,0.145,-0.050
1.346,0.170,-0.050
1.348,0.180,-0.050
1.350,0.145,-0.045
1.352,0.080,-0.040
1.354,0.045,-0.030
1.356,-0.045,-0.025
1.358,0.015,-0.020
1.360,0.015,-0.020
1.362,0.040,-0.025
1.364,0.130,-0.030
1.366,0.200,-0.035
1.368,0.200,-0.040
1.370,0.130,-0.045
1.372,0.085,-0.050
1.374,0.005,-0.050
1.376,-0.070,-0.050
1.378,-0.080,-0.045
1.380,0.000,-0.045
1.382,0.100,-0.040
1.384,0.145,-0.040
1.386,0.185,-0.035
1.388,0.180,-0.035
1.390,0.140,-0.035
1.392,0.035,-0.030
1.394,0.040,-0.030
1.396,-0.015,-0.025
1.398,-0.055,-0.020
1.400,0.025,-0.020
1.402,0.100,-0.020
1.404,0.145,-0.020
1.406,0.180,-0.025
1.408,0.195,-0.030
1.410,0.155,-0.035
1.412,0.015,-0.040
1.414,0.040,-0.045
1.416,-0.090,-0.045
1.418,-0.005,-0.045
1.420,-0.030,-0.045
1.422,0.090,-0.040
1.424,0.135,-0.040
1.426,0.200,-0.040
1.428,0.200,-0.040
1.430,0.140,-0.045
1.432,0.070,-0.050
1.434,0.020,-0.050
1.436,-0.080,-0.050
1.438,-0.045,-0.045
1.440,0.020,-0.040
1.442,0.100,-0.030
1.444,0.105,-0.020
1.446,0.270,-0.005
1.448,0.285,0.000
1.450,0.180,0.005
1.452,0.090,0.010
1.454,0.055,0.005
1.456,-0.080,0.000
1.458,-0.025,-0.005
1.460,0.055,-0.010
1.462,0.140,-0.010
1.464,0.170,-0.015
1.466,0.275,-0.010
1.468,0.185,-0.005
1.470,0.145,0.000
1.472,0.100,0.000
1.474,0.035,0.005
1.476,-0.020,0.010
1.478,-0.015,0.010
1.480,0.055,0.010
1.482,0.150,0.010
1.484,0.180,0.010
1.486,0.300,0.010
1.488,0.255,0.005
1.490,0.135,0.005
1.492,0.085,0.000
1.494,0.030,0.000
1.496,-0.045,-0.005
1.498,-0.050,-0.010
1.500,0.055,-0.015
1.502,0.110,-0.015
1.504,0.150,-0.015
1.506,0.250,-0.015
1.508,0.195,-0.015
1.510,0.120,-0.015
1.512,0.065,-0.020
1.514,0.000,-0.025
1.516,-0.065,-0.030
1.518,-0.045,-0.040
1.520,0.030,-0.050
1.522,0.055,-0.060
1.524,0.140,-0.065
1.526,0.185,-0.070
1.528,0.175,-0.065
1.530,0.135,-0.060
1.532,0.055,-0.055
1.534,-0.015,-0.050
1.536,-0.050,-0.045
1.538,-0.030,-0.050
1.540,0.035,-0.055
1.542,0.055,-0.060
1.544,0.075,-0.070
1.546,0.120,-0.075
1.548,0.130,-0.075
1.550,0.135,-0.075
1.552,0.015,-0.065
1.554,0.015,-0.055
1.556,-0.020,-0.040
1.558,-0.040,-0.030
1.560,0.010,-0.025
1.562,0.110,-0.020
1.564,0.160,-0.025
1.566,0.220,-0.035
1.568,0.125,-0.045
1.570,0.080,-0.055
1.572,0.000,-0.065
1.574,-0.060,-0.070
1.576,-0.080,-0.080
1.578,-0.045,-0.080
1.580,-0.010,-0.085
1.582,0.055,-0.090
1.584,0.100,-0.100
1.586,0.110,-0.105
1.588,0.090,-0.105
1.590,0.020,-0.100
1.592,-0.045,-0.085
1.594,-0.035,-0.055
1.596,-0.025,-0.010
1.598,0.065,0.055
1.600,0.245,0.130
1.602,0.375,0.210
1.604,0.540,0.295
1.606,0.620,0.375
1.608,0.645,0.440
1.610,0.675,0.480
1.612,0.620,0.500
1.614,0.485,0.485
1.616,0.420,0.445
1.618,0.295,0.380
1.620,0.390,0.295
1.622,0.390,0.195
1.624,0.305,0.090
1.626,0.215,-0.010
1.628,0.050,-0.095
1.630,-0.145,-0.165
1.632,-0.235,-0.215
1.634,-0.305,-0.240
1.636,-0.265,-0.250
1.638,-0.235,-0.250
1.640,-0.110,-0.235
1.642,-0.055,-0.220
1.644,0.015,-0.200
1.646,0.075,-0.180
1.648,0.025,-0.165
1.650,-0.045,-0.145
1.652,-0.125,-0.130
1.654,-0.140,-0.110
1.656,-0.125,-0.095
1.658,-0.005,-0.075
1.660,0.060,-0.060
1.662,0.105,-0.050
1.664,0.180,-0.045
1.666,0.155,-0.040
1.668,0.120,-0.040
1.670,0.040,-0.045
1.672,-0.015,-0.050
1.674,-0.070,-0.050
1.676,-0.055,-0.045
1.678,-0.050,-0.040
1.680,0.135,-0.030
1.682,0.135,-0.020
1.684,0.190,-0.010
1.686,0.190,-0.005
1.688,0.145,0.000
1.690,0.060,-0.005
1.692,-0.015,-0.010
1.694,-0.060,-0.015
1.696,-0.035,-0.025
1.698,0.000,-0.030
1.700,0.050,-0.035
1.702,0.150,-0.035
1.704,0.210,-0.035
1.706,0.175,-0.030
1.708,0.105,-0.025
1.710,0.085,-0.015
1.712,0.045,-0.005
1.714,-0.060,0.000
1.716,-0.015,0.005
1.718,0.030,0.005
1.720,0.115,0.005
1.722,0.165,0.000
1.724,0.240,-0.005
1.726,0.185,-0.010
1.728,0.120,-0.020
1.730,0.040,-0.025
1.732,0.010,-0.030
1.734,-0.025,-0.035
1.736,-0.080,-0.030
1.738,-0.030,-0.025
1.740,0.070,-0.020
1.742,0.120,-0.010
1.744,0.275,0.000
1.746,0.260,0.010
1.748,0.180,0.020
1.750,0.095,0.025
1.752,0.020,0.025
1.754,-0.080,0.020
1.756,-0.030,0.015
1.758,0.040,0.010
1.760,0.120,0.005
1.762,0.155,0.000
1.764,0.215,-0.005
1.766,0.195,-0.005
1.768,0.160,0.000
1.770,0.115,0.005
1.772,0.075,0.015
1.774,-0.045,0.025
1.776,0.030,0.035
1.778,0.075,0.040
1.780,0.135,0.040
1.782,0.180,0.045
1.784,0.245,0.040
1.786,0.235,0.035
1.788,0.185,0.030
1.790,0.060,0.030
1.792,-0.005,0.025
1.794,-0.060,0.025
1.796,-0.005,0.025
1.798,0.135,0.030
1.800,0.175,0.040
1.802,0.205,0.045
1.804,0.260,0.050
1.806,0.235,0.050
1.808,0.200,0.050
1.810,0.075,0.050
1.812,0.035,0.045
1.814,0.020,0.045
1.816,0.060,0.040
1.818,0.145,0.045
1.820,0.175,0.050
1.822,0.230,0.055
1.824,0.285,0.070
1.826,0.260,0.085
1.828,0.235,0.100
1.830,0.200,0.115
1.832,0.165,0.130
1.834,0.090,0.140
1.836,0.150,0.145
1.838,0.185,0.155
1.840,0.235,0.155
1.842,0.320,0.160
1.844,0.375,0.160
1.846,0.355,0.160
1.848,0.275,0.160
1.850,0.210,0.165
1.852,0.155,0.165
1.854,0.115,0.170
1.856,0.170,0.170
1.858,0.225,0.175
1.860,0.320,0.175
1.862,0.345,0.180
1.864,0.415,0.185
1.866,0.370,0.190
1.868,0.295,0.195
1.870,0.215,0.200
1.872,0.185,0.205
1.874,0.195,0.210
1.876,0.240,0.210
1.878,0.320,0.210
1.880,0.380,0.210
1.882,0.335,0.205
1.884,0.410,0.200
1.886,0.345,0.195
1.888,0.215,0.190
1.890,0.210,0.180
1.892,0.115,0.175
1.894,0.110,0.165
1.896,0.200,0.160
1.898,0.255,0.150
1.900,0.260,0.140
1.902,0.335,0.135
1.904,0.340,0.125
1.906,0.260,0.115
1.908,0.205,0.105
1.910,0.095,0.100
1.912,-0.010,0.090
1.914,0.050,0.080
1.916,0.110,0.070
1.918,0.145,0.060
1.920,0.200,0.050
1.922,0.200,0.040
1.924,0.225,0.030
1.926,0.195,0.020
1.928,0.055,0.010
1.930,0.060,0.005
1.932,-0.070,0.000
1.934,-0.040,-0.005
1.936,-0.020,-0.005
1.938,0.100,-0.005
1.940,0.115,-0.010
1.942,0.200,-0.010
1.944,0.205,-0.010
1.946,0.105,-0.015
1.948,0.065,-0.020
1.950,0.045,-0.025
1.952,-0.085,-0.025
1.954,-0.070,-0.030
1.956,-0.030,-0.035
1.958,0.030,-0.035
1.960,0.110,-0.040
1.962,0.200,-0.040
1.964,0.145,-0.045
1.966,0.035,-0.050
1.968,0.020,-0.050
1.970,-0.035,-0.055
1.972,-0.110,-0.055
1.974,-0.080,-0.055
1.976,0.000,-0.050
1.978,0.045,-0.045
1.980,0.100,-0.035
1.982,0.210,-0.030
1.984,0.130,-0.025
1.986,0.105,-0.020
1.988,0.025,-0.020
1.990,-0.045,-0.025
1.992,-0.095,-0.030
1.994,-0.090,-0.035
1.996,-0.005,-0.045
1.998,0.055,-0.050
2.000,0.075,-0.055
2.002,0.135,-0.055
2.004,0.160,-0.055
2.006,0.075,-0.055
2.008,0.035,-0.050
2.010,-0.065,-0.050
2.012,-0.170,-0.045
2.014,-0.110,-0.045
2.016,-0.055,-0.045
2.018,0.025,-0.045
2.020,0.155,-0.040
2.022,0.180,-0.040
2.024,0.145,-0.035
2.026,0.055,-0.030
2.028,-0.005,-0.025
2.030,-0.015,-0.025
2.032,-0.070,-0.020
2.034,-0.080,-0.025
2.036,-0.005,-0.030
2.038,0.075,-0.035
2.040,0.095,-0.045
2.042,0.180,-0.055
2.044,0.100,-0.060
2.046,0.040,-0.060
2.048,-0.005,-0.055
2.050,-0.025,-0.050
2.052,-0.115,-0.040
2.054,-0.070,-0.030
2.056,0.035,-0.020
2.058,0.090,-0.015
2.060,0.100,-0.010
2.062,0.155,-0.010
2.064,0.190,-0.015
2.066,0.085,-0.020
2.068,0.000,-0.025
2.070,-0.075,-0.030
2.072,-0.080,-0.035
2.074,-0.065,-0.035
2.076,-0.015,-0.035
2.078,0.070,-0.035
2.080,0.100,-0.035
2.082,0.155,-0.035
2.084,0.130,-0.040
2.086,0.100,-0.040
2.088,0.035,-0.040
2.090,-0.105,-0.035
2.092,-0.120,-0.030
2.094,-0.015,-0.025
2.096,0.010,-0.020
2.098,0.085,-0.015
2.100,0.130,-0.010
2.102,0.150,-0.010
2.104,0.125,-0.015
2.106,0.075,-0.020
2.108,0.025,-0.020
2.110,-0.060,-0.025
2.112,-0.115,-0.025
2.114,-0.035,-0.025
2.116,0.060,-0.020
2.118,0.095,-0.015
2.120,0.140,-0.010
2.122,0.175,-0.005
2.124,0.135,-0.005
2.126,0.100,-0.010
2.128,0.040,-0.015
2.130,-0.040,-0.020
2.132,-0.130,-0.020
2.134,-0.120,-0.025
2.136,0.080,-0.020
2.138,0.155,-0.015
2.140,0.110,-0.010
2.142,0.190,-0.005
2.144,0.175,-0.005
2.146,0.085,-0.005
2.148,-0.005,-0.010
2.150,-0.070,-0.020
2.152,-0.115,-0.030
2.154,-0.090,-0.040
